CODIGO;ENTIDAD;DIRECCION;COMUNA;HORARIO;ESTE;NORTE;LONGITUD;LATITUD
102;Fullcarga;AV. LIBERTADOR BERNARDO O'HIGGINS 3170;ESTACION CENTRAL;Lun a Vie 05:30 a 23:00 Sab 06:30 a 23:00 Dom y Festivos 08:00 a 23:00;343958;6297315;-70.67892;-33.452237
103;Fullcarga;AV. LIBERTADOR BERNARDO O'HIGGINS 3170;ESTACION CENTRAL;Lun a Vie 05:30 a 23:00 Sab 06:30 a 23:00 Dom y Festivos 08:00 a 23:00;343958;6297315;-70.67892;-33.452237
104;Fullcarga;ENTRE CAIMANES Y CENTROAMERICA;PEDRO AGUIRRE CERDA;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;343764;6292782;-70.6818;-33.493075
105;Fullcarga;LUCILA GODOY Y CLOTARIO BLEST;LO ESPEJO;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;343430;6290439;-70.685795;-33.514151
106;Fullcarga;LO BLANCO Y ALONSO DE ERCILLA;SAN BERNARDO;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;342367;6283872;-70.698397;-33.573201
107;Fullcarga;JOSE TORIBIO MEDINA Y BALMACEDA;SAN BERNARDO;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;342384;6282407;-70.698471;-33.586418
108;Fullcarga;BAQUEDANO Y CONDELL;SAN BERNARDO;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;342454;6281513;-70.697878;-33.594486
109;Fullcarga;MAESTRANZA CON DIEGO PORTALES;SAN BERNARDO;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;342560;6280143;-70.696979;-33.606847
110;Fullcarga;CALLE UNO CON PORTALES;SAN BERNARDO;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;342238;6278275;-70.700781;-33.623645
111;Fullcarga;PORTALES Y PORTALES ORIENTE FRENTE MALL PLAZA SUR ;SAN BERNARDO;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;341882;6277258;-70.704796;-33.632758
112;Fullcarga;CARLOS VALDOVINOS 3295;PEDRO AGUIRRE CERDA;Lun a Vie 06:00 a 23:00 Sab 07:00 a 23:00 Dom y Festivos 08:00 a 23:00;344161;6294436;-70.67780795;-33.478509897
114;Fullcarga;AV. INDEPENDENCIA 1060;INDEPENDENCIA;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;345987;6301113;-70.656443;-33.418294
