CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
92313;Fullcarga;SOLEY LO PRADO;GABRIELA MISTRAL 677;LO PRADO;;338573;6297482;-70.7373815972298;-33.4500539557388
92314;Fullcarga;PABLO CESAR PEREZ CABRERA;VALLE HERMOSO 9250;PEÑALOLEN;;357481;6295957;-70.53424629;-33.46665715
92316;Fullcarga;EL CLAN DESTINO PAC;AV CENTRAL CARDENAL SILVA HENRIQUEZ 6308;PEDRO AGUIRRE CERDA;;343004;6291778;-70.6901508783859;-33.5020227411559
92318;Fullcarga;ERBI - SAN JUAN;SAN JUAN 7209;CERRILLOS;;340348;6291980;-70.7193680457437;-33.5000443202893
92328;Fullcarga;VIVI LA PINTANA;TENIENTE MONTT SALAMANCA  12431;LA PINTANA;;346182;6283567;-70.65793768;-33.57680251
92331;Fullcarga;ERBI - SAN MIGUEL 2;GRAN AVENIDA 4293;SAN MIGUEL;;346551;6292795;-70.651803647778;-33.4933614087607
92332;Fullcarga;ERBI - VITACURA (SAN JOSE MARIA ESCRIVA);SAN JOSE MARIA ESCRIVA DE BALAGUER 9471;VITACURA;;356207;6305987;-70.5457842732738;-33.3757646265784
92333;Fullcarga;LA PAPA EST CENTRAL;MANUEL RODRIGUEZ  4309 ;ESTACION CENTRAL;;342740;6294977;-70.6929623;-33.47329351
92335;Fullcarga;MINIMARKET 4 M PTE ALTO;CALLE DARWIN  180;SAN JOAQUIN;;349200;6293304;-70.6237811888889;-33.4894473333333
92338;Fullcarga;MINIMARKET CERRO 18;CAMINO CIRCUNVALACION NORTE 1227;LO BARNECHEA;;360440;6308518;-70.5006731492148;-33.353740815292
92341;Fullcarga;VOY Y VUELVO LA GRANJA;LAS VERBENAS  0669 ;LA GRANJA;;349401;6285977;-70.6222802083333;-33.555123125
92343;Fullcarga;TIA MAGGY MACUL;LOS APOSTOLES  3917;MACUL;;352635;6293157;-70.58702239;-33.49119729
92347;Fullcarga;INTERNET R.A.P. CERRILLOS;AVDA LO ERRAZURIZ  4275 ;CERRILLOS;;340007;6294620;-70.7225296;-33.47628675
92349;Fullcarga;HAYDEE OLIVERO;LA BANDERA  9127 ;SAN RAMON;;347337;6287292;-70.64494661;-33.54321962
92350;Fullcarga;DONDE CARLITOS;GENERAL ARRIAGADA 0347 11;LA PINTANA;;349063;6285055;-70.62607203125;-33.5633922395833
92351;Fullcarga;KENA FAST SERVICE LO BARN;LAS CONDES  14791 ;LO BARNECHEA;;360994;6307375;-70.4946936067451;-33.3641616111717
92352;Fullcarga;CARLOS RAMIREZ CACERES LA;EL OMBU  02910 ;LA PINTANA;;349607;6281583;-70.6207925177305;-33.5947760283687
92354;Fullcarga;BOTILLERIA LOS PORTENOS S;PEDRO AGUIRRE CERDA  6064 ;HUECHURABA;;347778;6307253;-70.6367604593731;-33.3633418947002
92388;Fullcarga;MARTA ELENA SALGADO GONZALEZ;CAPITAN GALVEZ  4309;ESTACION CENTRAL;;342707;6295537;-70.6932550136966;-33.4683727772711
