CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
L5;METRO;PUDAHUEL;Avda. Teniente Cruz 800;PUDAHUEL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;338212;6298027;-70.7405987919;-33.4449744968
L5;METRO;QUINTA NORMAL;Catedral 3336;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;343819;6298625;-70.680187867;-33.4404094483
L5;METRO;RICARDO CUMMING;Avda. Ricardo Cumming 502;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;344900;6298781;-70.668541584;-33.4391645841
L5;METRO;RODRIGO DE ARAYA;Avda. Vicuña Mackenna 2601;MACUL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;349265;6294588;-70.6223002472;-33.4775901468
L5;METRO;SAN JOAQUIN;Avda. Vicuña Mackenna 4861;MACUL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;349853;6292455;-70.6163333506;-33.4969056062
L5;METRO;SAN PABLO L5;Avda. San Pablo 6190;LO PRADO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;339837;6298000;-70.723118;-33.445454
L5;METRO;SANTA ISABEL;Santa Isabel N°088;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;348458;6297954;-70.6304176391;-33.44713023
L5;METRO;SANTIAGO BUERAS;Avda. Pajaritos 3321;MAIPU;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;336744;6292296;-70.7574300634;-33.496415092
L6;METRO;CERRILLOS;Martín de Solier 4598;CERRILLOS;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;342697;6293845;-70.693665;-33.483631
L6;METRO;LO VALLEDOR;Avda. Carlos Valdovinos 3346;PEDRO AGUIRRE CERDA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;343935;6294422;-70.680244;-33.478607
L6;METRO;PRESIDENTE PEDRO AGUIRRE CERDA;Avda. Carlos Valdovinos 2223;PEDRO AGUIRRE CERDA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345351;6294460;-70.665001;-33.47847
L6;METRO;FRANKLIN L6;Nataniel Cox 2370;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346808;6294730;-70.649277;-33.47625
L6;METRO;BIO BIO;Avda. Santa Rosa 2374;SAN JOAQUIN;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;347504;6294677;-70.6418;-33.476822
L6;METRO;ÑUBLE L6;Carlos Dittborn 733;ÑUÑOA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;349121;6295754;-70.624222;-33.46735
L6;METRO;ÑUÑOA;Avda. Irarrázaval 2461;ÑUÑOA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;350837;6297230;-70.605515;-33.454277
L6;METRO;ESTADIO NACIONAL;Avda. Grecia 2298;ÑUÑOA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;350702;6296373;-70.607109;-33.46199
L6;METRO;INES DE SUAREZ;Avda. Pedro de Valdivia 1664;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;350634;6299031;-70.607399;-33.438011
L6;METRO;LOS LEONES L6;Las Bellotas 200;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;350554;6300779;-70.607971;-33.422237
